"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 09:30:56 GMT 2023","Thu Jun 15 09:31:02 GMT 2023","6308","","tests.LanitTest","","tests.LanitTest","vkGroup","vkGroup()",""
"passed","Thu Jun 15 09:30:52 GMT 2023","Thu Jun 15 09:30:56 GMT 2023","3779","","tests.LanitTest","","tests.LanitTest","searchTest","searchTest()",""
"passed","Thu Jun 15 09:30:29 GMT 2023","Thu Jun 15 09:30:32 GMT 2023","2714","","tests.LanitTest","","tests.LanitTest","activityProjects","activityProjects(String, String) [2] Проекты, КЛЮЧЕВЫЕ ПРОЕКТЫ",""
"passed","Thu Jun 15 09:30:32 GMT 2023","Thu Jun 15 09:30:48 GMT 2023","15301","","tests.LanitTest","","tests.LanitTest","career","career()",""
"passed","Thu Jun 15 09:30:48 GMT 2023","Thu Jun 15 09:30:52 GMT 2023","4356","","tests.LanitTest","","tests.LanitTest","projects","projects()",""
"passed","Thu Jun 15 09:30:01 GMT 2023","Thu Jun 15 09:30:29 GMT 2023","28715","","tests.LanitTest","","tests.LanitTest","activityProjects","activityProjects(String, String) [1] Деятельность, НАПРАВЛЕНИЯ ДЕЯТЕЛЬНОСТИ",""
